Topic,Count,Name,Representation,Representative_Docs
9,38,9_jantarmantar_world_delhi_india,"['jantarmantar', 'world', 'delhi', 'india', 'https', 'protest', 'media', 'pti_news', 'mainstream media', 'cjp']","['@Reuters Thank you world for showing the real picture of India. Mainstream media is sold out or spineless. We common people now depend on you and social media. Keep supporting the #CJP protest at #JantarMantar, New Delhi and across #India #World🙏', '@AP Thank you world for showing the real picture of India.  Mainstream media is sold out (to Moti) or spineless. We common people now depend on you and social media. Keep supporting the #CJP protest at #JantarMantar, New Delhi and across #India #World🙏', '@business Thank you world for showing the real picture of India. Mainstream media is sold out or spineless. We common people now depend on you and social media. Keep supporting the #CJP protest at #JantarMantar, New Delhi and across #India #World🙏']"
10,37,10_neet_ban_protest_cjp,"['neet', 'ban', 'protest', 'cjp', 'cjp delhi', 'tamil', 'students', 'tamil nadu', 'nadu', 'think']","['Urgent attention is needed regarding the CJP Tamil Nadu protest.\n\n@abhijeet_dipke @Wangchuk66 @Cockroachisback @CJP_for_India \n\nPlease review what is happening under the CJP banner in Tamil Nadu.  A protest supposedly demanding a fair NEET has been diverted into personal attacks https://t.co/syI1GabwQj', '1) CJP Delhi protest has 3 clear demands and Ban NEET is NOT one of them\n\n2) So how is demanding Ban NEET in Tamil Nadu called a supportive protest for CJP\n\n3)  Pushing Ban NEET and singing about religious riots is this really a student support protest. https://t.co/Cj8SFK0O33', '@VKreflections @MacroMatrix1 CJP Delhi demands a fair NEET while CJP Chennai demands a ban on NEET. Did you listen to his full speech? He covered all the issues related to NEET and the protest. Additionally, he also addressed the Tamil Nadu govt’s lack of action on Dalit issues in his own stage.']"
11,34,11_dharmendrapradhan sonamwangchuk_cockroachjantaparty protest_sonamwangchuk cjp_modi delhi,"['dharmendrapradhan sonamwangchuk', 'cockroachjantaparty protest', 'sonamwangchuk cjp', 'modi delhi', 'protest india', 'cockroachjantaparty', 'dharmendrapradhan', 'sonamwangchuk', 'bjp', 'abhijeetdipke']","['Gorlllss \n\n#GenZWithBharat #NEET #Modi #Delhi #Dharmendrapradhan #SonamWangchuk #CJP #CJPMovement #AbhijeetDipke #CockroachJantaParty #Protest #India #ModiGovernment #BJP #genz #jantarmantar https://t.co/u6DwQMBSs2', ""It's awareness. \n\n#GenZWithBharat #NEET #Modi #Delhi #Dharmendrapradhan #SonamWangchuk #CJP #CJPMovement #AbhijeetDipke #CockroachJantaParty #Protest #India #ModiGovernment #BJP #genz #jantarmantar"", 'Creativity \n#GenZWithBharat #NEET #Modi #Delhi #Dharmendrapradhan #SonamWangchuk #CJP #CJPMovement #AbhijeetDipke #CockroachJantaParty #Protest #India #ModiGovernment #BJP #genz #jantarmantar']"
12,48,12_court_high court_nia_delhi high,"['court', 'high court', 'nia', 'delhi high', 'high', 'seeking', 'probe', 'rejects', 'delhi', 'mantar new']","['#BREAKING: Delhi High Court rejects PIL Seeking NIA Probe into CJP Protest at Jantar Mantar in New Delhi.', '#BREAKING: Delhi High Court rejects PIL Seeking NIA Probe into CJP Protest at Jantar Mantar in New Delhi.', '#BREAKING: Delhi High Court rejects PIL Seeking NIA Probe into CJP Protest at Jantar Mantar in New Delhi.']"
13,40,13_sonam_wangchuk_sonam wangchuk_hunger strike,"['sonam', 'wangchuk', 'sonam wangchuk', 'hunger strike', 'hunger', 'strike', 'hospital', 'hungerstrike', 'ended', 'watch https']","[""A day after Sonam Wangchuk ended his 26-day hunger strike, the protest at Delhi's Jantar Mantar continues.\n\nProtesters remain gathered at the site, as the CJP presses ahead with its demands, including the resignation of Union Education Minister Dharmendra Pradhan.\n\n#JantarMantar https://t.co/2Yu78gVj4u"", ""A day after Sonam Wangchuk ended his 26-day hunger strike, the protest at Delhi's Jantar Mantar continues.\n\nProtesters remain gathered at the site, as the CJP presses ahead with its demands, including the resignation of Union Education Minister Dharmendra Pradhan.\n\n#JantarMantar https://t.co/nDx60jDInL"", '#BreakingNews | Abhijeet Dipke slams government amid centre-CJP talks, says government is rewarding corruption\n\n@SimranBabbar_05   with @poonam_burde  | #SonamWangchuk #PMModi #Hungerstrike #Protest #Delhi #AbhijeetDipke #CJP \n\nWatch: https://t.co/aNIieODGVs https://t.co/63mCH9Crjx']"
14,38,14_mantar_jantar mantar_jantar_end,"['mantar', 'jantar mantar', 'jantar', 'end', 'cjp', 'centre', 'updates', 'assurances', 'agitation', 'govt']","['BIG BREAKING: CJP has announced to END the Jantar Mantar agitation after Govt assurances.\n\n#CJP #JantarMantar #Protest #AbhijeetDipke #DharmendraPradhan #Resignation #BreakingNews #IndianPolitics #PoliticalNews #IndiaNews #LatestNews #Politics #Delhi https://t.co/psXNC1Z1yI', 'CJP calls off protest but now their politics will start 😂\n\nCJP has announced to END the Jantar Mantar agitation after Govt assurances.\n\nFinally, Delhi will breathe free 🇮🇳\n\n#DharmendraPradhan #RestorePeace\n#TimeToEndProtest \n#NEETExamProtest\n#जंतर_मंतर_ब्रेकिंग_न्यूज', 'CJP calls off protest but now their politics will start 😂\n\nCJP has announced to END the Jantar Mantar agitation after Govt assurances.\n\nFinally, Delhi will breathe free 🇮🇳\n\n#DharmendraPradhan #RestorePeace\n#TimeToEndProtest \n#NEETExamProtest\n#जंतर_मंतर_ब्रेकिंग_न्यूज https://t.co/rnbwnauQCk']"
15,33,15_dharmendra pradhan_dharmendra_pradhan_gt,"['dharmendra pradhan', 'dharmendra', 'pradhan', 'gt', 'resigned', 'resignation', 'resign', 'pradhan resigned', 'pradhan resignation', 'victory']","['congratulations CJP for making an innocent man resign from his post.\n\nthank you narendra modi ji for not letting hooligans &amp; foreign funded protest tear apart this country.\n\nit is the black day for democracy but always remember dharmendra pradhan, history will be kinder to you. https://t.co/qQYSdhETyO', ""&gt; GCs tried to protest against UGC\n&gt; Didn't get permission \n&gt; GCs were labelled as anti national, pakistani \n&gt; Dipke got permission in a day\n&gt; Massive protests, chaos in delhi\n&gt; Dharmendra Pradhan resigned today \n&gt; It's clear that Modi listen ONLY when there is street chaos"", ""Breaking 📢📢 IB source told to Govt of Bharat that Terrorist have planing to Burn entire Bharat and Delhi Sepcialy Target to 15 of August in the name of Peaceful protest. That's y Dharmendra Pradhan has resigned. #cjp #Dharmendrapradhan #neet #bjp #istandwithpm""]"
16,36,16_cjp protest_protest delhi_delhi_protest,"['cjp protest', 'protest delhi', 'delhi', 'protest', 'cjp', 'support', 'news https', 'bjp', 'shaheen bagh', 'shaheen']","['@prakashraaj @prakashraaj rice b@g, why r u sitting at home? U got a chance to free the terr0®i$t um@r, sh@rjeel &amp; t@hir etc from jail, so that northe@st can be cut from india &amp; delhi like hiπdu gen0cide can happen again. Common protest at CJP..... They r waiting for ur support..... https://t.co/vhT43BL2vf', ""BJP came to power saying 'Make in India' but they have only promoted 'leak in India'.\n\n- Actor Prakash Raj joins CJP protest in Delhi https://t.co/Q5SIaNJNev"", 'After getting bail in multiple voter ID cards case, Prakash Raj reaches CJP protest site in Delhi, says\n\n""We now have weapon of social media, you (BJP) came to power with that now with same social media we will take you down. Cockroaches have support.."" https://t.co/01XzDhflTX']"
17,26,17_guns_use_rahul gandhi_rahul,"['guns', 'use', 'rahul gandhi', 'rahul', 'gandhi', 'hospital', 'injuries', 'seeks', 'injured', 'https']","['""When I went to the CJP protest, I never expected I\'d be shot [by a pellet gun]. I thought pellet guns were used only in Kashmir. I had gone to take part in the march to Parliament. Amid the tear gas shelling during the clash between protesters and police near Jantar Mantar, I https://t.co/330g23FFnV', 'RML Hospital Update: The 21-year-old woman injured in the protest-related incident is showing steady improvement. She has been off the ventilator for nearly 72 hours, is conscious, alert, breathing on her own, and tolerating oral feeds. Her condition is stable, though she remains https://t.co/FtTSLsMoX9', 'Rahul Gandhi accuses Centre of denying pellet use during CJP protest, demands action   KNOW MORE:  https://t.co/kDLzWgmqtH\n\n@RahulGandhi @CJP_2029 \n\nRahul Gandhi alleges pellet use during the CJP protest in Delhi and demands accountability over injuries suffered by students,']"
18,40,18_students_paper_leak_neet,"['students', 'paper', 'leak', 'neet', 'solidarity', 'paper leak', 'neet paper', 'jantarmantar', 'expressing solidarity', 'expressing']","['Breaking: CJP founder Abhijeet Deepak says he has been “typhoided” as Delhi Police tighten security at Jantar Mantar. Another round of talks with the government is expected today amid the ongoing NEET leak protest. #NEET #NEETPaperLeak #JantarMantar #DelhiPolice #CJP #IndiaNews', ""Defiance, demands, deadlock | India Today's @PreetiChoudhry speaks to @abhijeet_dipke from the CJP protest site at Jantar Mantar.\n\nListen in.\n\n#NEETPaperLeakCase #StudentProtest #Education #Delhi #JantarMantar #TTP https://t.co/FiKlsrz8p5"", ""#Delhi\n\nThe National Students' Union of India (NSUI) held a protest in solidarity with the ongoing demonstrations over the NEET paper leak.\n\n#NSUI\n#CJP\n#CJPProtest\n#JantarMantar\n#DelhiProtest\n#StudentsProtest\n#YouthVoices\n#JusticeForStudents\n#ExamReforms\n#PaperLeak\n#NewDelhi https://t.co/LfMiiRmSTU""]"
19,24,19_detained_jamia_students_police,"['detained', 'jamia', 'students', 'police', 'returning', 'junaid', 'university', 'house', 'father', 'damaging']","['How dare you threaten a University?\nPolice to take stringent measures against individuals found directly involved in violence, rioting, damaging public property during protests at Jantar Mantar  Initiating proceedings to cancel the passports\nhttps://t.co/9rytWgaHhI', 'How dare you threaten a University?\nPolice to take stringent measures against individuals found directly involved in violence, rioting, damaging public property during protests at Jantar Mantar  Initiating proceedings to cancel the passports\nhttps://t.co/rDy6D2P4S4', '@RahulGandhi How dare you threaten a University?\nPolice to take stringent measures against individuals found directly involved in violence, rioting, damaging public property during protests at Jantar Mantar  Initiating proceedings to cancel the passports\nhttps://t.co/9rytWgaHhI']"
20,23,20_liquor_internet_shops_amid,"['liquor', 'internet', 'shops', 'amid', 'services', 'amid cjp', 'delhi liquor', 'restricted', 'pm', 'weekend']","['New Delhi: Legal services organisation #Software Freedom Law Center, India on Friday moved the Delhi High Court against the suspension of mobile internet services in parts of Central Delhi amid the ongoing #CJP-led protest at #JantarMantar against #NEET paper leak and alleged', 'The Delhi Traffic Police has advised ride-hailing, food delivery, quick-commerce, logistics, and e-commerce platforms to regulate operations in areas under Section 163 BNSS restrictions due to the ongoing CJP protest. Emergency services will continue to operate without https://t.co/8odyEgOOl0', 'Liquor shops across Delhi will close at 8 pm, two hours earlier than the usual 10 pm, over the weekend amid the ongoing Cockroach Janta Party (CJP) protest at Jantar Mantar over the alleged NEET-UG 2026 paper leak.\n\nAccording to a senior Delhi government official, the decision https://t.co/dW4CrHKl66']"
21,36,21_modi_prime_prime minister_abuse,"['modi', 'prime', 'prime minister', 'abuse', 'abusive', 'slogans', 'journalist', 'narendra modi', 'narendra', 'man']","[""These girls at the CJP protest are shouting extremely abusive and highly offensive slogans against India's Prime Minister Narendra Modi while laughing.\n\nThey are deliberately shouting abusive slogans at the Prime Minister just to become famous because they have no knowledge https://t.co/EbNETVskmH"", ""Delhi: At the CJP protest, these girls are loudly chanting abusive and vulgar slogans against India's Prime Minister, Narendra Modi, while laughing shamelessly.\n\nIt looks like they're trying to gain attention through offensive behaviour rather than discussing the issues. When https://t.co/SWKRtn7pr3"", 'WTF Is Happening At CJP Protest?\n\nA journalist was randomly declared ""Godi Media"". \n\nAnd brutally beaten by a hundreds of CJP goons.\n\nAnd people on camera are celebrating these mob attacks on journalists.\n\nInstead of publicly conedming these mob attacks, CJP is shamelessly https://t.co/0p63fbqPew']"
22,37,22_paper_paper leak_leak_cockroach,"['paper', 'paper leak', 'leak', 'cockroach', 'minister', 'neet paper', 'education minister', 'minister dharmendra', 'pradhan', 'education']","[""CJP Keeps Pressure on Centre, Seeks Education Minister's Resignation\n\nNew Delhi, July 24, 2026\n\nThe Cockroach Janta Party (CJP) has intensified its campaign over the NEET paper leak issue, maintaining that Education Minister Dharmendra Pradhan must resign or be removed from https://t.co/91c20Ur1YG"", 'Supporters of the Cockroach Janata Party (CJP) protest at Jantar Mantar in New Delhi on July 22, 2026, demanding the resignation of Union Education Minister Dharmendra Pradhan over alleged examination irregularities and the NEET paper leak.\n\n📸@msikku153 #shadqureshi https://t.co/vxOTDiVSQO', 'Cockroach Janta Party (CJP) supporters, and Volunteers protest seeking resignation of Union Education Minister Dharmendra Pradhan over alleged examination irregularities and NEET paper leak in New Delhi on July 24, 2026.\n\n📸  : Shashi Shekhar Kashyap https://t.co/uTO7lc5ZKo']"
23,24,23_students_hai_protest_khan,"['students', 'hai', 'protest', 'khan', 'cjp protest', 'dahiya', 'real', 'student', 'cjp', 'student protest']","['BRAVE GIRL 🔥 : You said CJP has nothing to do with politics. But entire protest is politicised. \n\nVIJETA DAHIYA : Listen to me 🤯\n\nGIRL : This issue is no longer about students. You never talk about policy reforms. All you need is resignation. https://t.co/RADAFtcP3Y', 'What CJP protest ? Kaun hai yeh CJP ? This was started as student protest for education. To protect education system. 370 wapas lana, umar khaleed, Ram- Sita, etc etc… yeh kaisa education protest hai ? Dont make yourselves fools, kyunki aise lomdi aur bhediye tumhe khana banakar', 'Aditya Thackeray \nUddhav Thackeray \nManish Sisodiya \nArvind Kejriwal\nShabana Azmi \nSonakshi Sinha \nPrakash Raj \n\nThe list is long! \nCJP Protest is seeing people who are Anti-BJP\nThis is not a protest for Students, its an Anti BJP Protest  https://t.co/ixQs1jxCll']"
24,28,24_dipke_abhijeet dipke_jantar mantar_mantar,"['dipke', 'abhijeet dipke', 'jantar mantar', 'mantar', 'jantar', 'abhijeet', 'arnab', 'sonam', 'cjp protest', 'protest']","['Mobocracy Not Protest: \nArnab Unpacks The Foreign Hand &amp; Hidden Motive Of Jantar Mantar Violence\n\nArnab raises questions over the presence of foreign nationals at the CJP protest in Delhi and examines allegations of foreign influence, overseas funding and the broader political https://t.co/qlpecIPtVV', 'EPSIODE:1 | Black Day For Indian Democracy 💔🥲 | CJP PROTEST | Abhijeet Dipke | CJP Protest Jantar Mantar | Delhi Protest | 20th July 2026 | CJP latest News | Priyanshu Rai \n\n#facts #abhijeetdipke #cjp #cjpprotest #delhiprotest #jantarmantar #cjp2026 #priyanshurai https://t.co/Uvu7Qw8UV9', 'New Delhi: Sanatan Pandey, Samajwadi Party MP from Ballia, reached Jantar Mantar to extend his support to the ongoing CJP protest and strongly criticised the BJP. Watch his exclusive interview with Dynamite News to know what he said about the agitation and the government’s https://t.co/XcxMXlwyLW']"
25,33,25_dipke_founder_cjp founder_abhijeet dipke,"['dipke', 'founder', 'cjp founder', 'abhijeet dipke', 'abhijeet', 'founder abhijeet', 'resignation', 'pradhan', 'dharmendra pradhan', 'dharmendra']","['After Union Education Minister Dharmendra Pradhan’s resignation, a celebratory atmosphere was witnessed at the protest site in New Delhi’s Jantar Mantar. CJP founder Abhijeet Dipke and other protesters celebrated, calling it a major victory for their movement.\n\n#CJPProtest https://t.co/NZdfDQiqcq', ""New Delhi: Cockroach Janta Party (#CJP) founder #AbhijeetDipke on Saturday said he had been diagnosed with typhoid but vowed that his illness would not slow the movement seeking Union Education Minister #DharmendraPradhan's resignation. I\n\nhttps://t.co/gxlxfIbjs1"", '🎥 | Cockroach Janta Party (CJP) founder Abhijeet Dipke on Saturday shared an update on his health, saying he has been diagnosed with typhoid. Despite his illness, he asserted that the nationwide protests demanding the resignation of Union Minister Dharmendra Pradhan will https://t.co/a2CCJwJmKj']"
26,22,26_opposition_opposition parties_want_parties,"['opposition', 'opposition parties', 'want', 'parties', 'game', 'children', 'doesn', 'kejriwal', 'cjp', 'protest']","['Now the real game starts .CJP , Urban Naxals, Congress ,SP got what they wanted. Looks so. But ideally now they are clueless and Shah and Delhi Police will start their game and lock up if protest continues and most of them willbe in jail. BJP And Modi wins 2029. CJP  is looser.', '@sathyashrii For organizing a protest? As an individual/group, they have every right to do it peacefully. \n\nAnd when it comes to dealing with the anti national elements, it is the job of the government to put them down via ED, CBI, RAW, IB, NIA and EOW. \n\nWhen it comes to opposition parties', '@FrontalForce CJP is no more a student protest but a political protest sponsored by AAP, Congress and other opposition parties. Majority are voters of opposition parties and have Anti social background. Delhi police needs to treat this as Law and Order problem \n@CPDelhi \n@HMOIndia']"
