tweet_id,text,author,created_at,favorite_count,retweet_count,language
2080990577219534857,"After talks with the government, Cockroach Janta Party (CJP) Chief Spokesperson Saurav Das said the Centre has accepted the group's second key demand to withdraw FIRs filed against protesters in Delhi and BJP-ruled or BJP-allied states. Das said the government assured that copies https://t.co/f1Am9R9DHD",CNNnews18,Sat Jul 25 12:16:31 +0000 2026,3,0,en
2080029445231177783,CJP terrorists and Umar Khalid’s illegal sons attacked a Delhi Police officer. He is now in the ICU. https://t.co/H85icK6hPe,TajinderBagga,Wed Jul 22 20:37:19 +0000 2026,18270,7000,en
2080973510906876138,"Dharmendra Pradhan has Resigned

Forget ending protest, CJP Goons are instead pelting stones and are ready for big violence.

Why?

#RestorePeace https://t.co/aMWtQz6THk",AnkurSingh,Sat Jul 25 11:08:42 +0000 2026,533,214,en
2080616900300841174,"EXPOSING THE FRAUD AT THE CJP PROTEST!

Abhijeet Dipke just pulled off the biggest fraud of his career today. He staged a massive drama, claiming an active Uttarakhand Police constable was resigning from his job to support their protest.

Here is the REALITY: 👇

-Sher Singh was https://t.co/jTzRwUSX5j",AMIT_GUJJU,Fri Jul 24 11:31:39 +0000 2026,10801,4450,en
2079594808683979109,"Ground reporters, including female journalists, faced intimidation and heckling while attempting to report from CJP protest sites yesterday.

=&gt; First harass male and female journalists, then blame the media for not covering your protest. https://t.co/YgKqHFUykM",MeghUpdates,Tue Jul 21 15:50:14 +0000 2026,6155,3103,en
2080987026548249080,"VIDEO | Delhi: After talks between the CJP delegation and the government, during a joint press conference, Union Minister JP Nadda (@JPNadda) says, ""Today was our third meeting with Saurabh Das and Ranka Ji. Once again, we had a lengthy discussion. They came today with a written https://t.co/B01GLFbGec",PTI_News,Sat Jul 25 12:02:24 +0000 2026,304,34,en
2080987748702576997,"🔴#BREAKING | ""We formally call off the protest"": CJP announces end of students' protest at Jantar Mantar",ndtv,Sat Jul 25 12:05:16 +0000 2026,800,54,en
2080656375802458269,"BIG EXPOSE | CJP Protest

250 criminals visited Protest 
They created riot like situation 

Delhi Police FRS system has identified 250 wanted criminals who allegedly visited the CJP protest site.

Sources claim many of them were present to fuel violence and create a riot-like https://t.co/69QfmaZaMc",iAtulKrishan1,Fri Jul 24 14:08:31 +0000 2026,2260,1066,en
2080942750632157281,A single statement by the CJP led to the Education Minister's resignation after such a prolonged protest https://t.co/vECoHa1sQn,theprayagtiwari,Sat Jul 25 09:06:28 +0000 2026,3229,172,en
2079763204440572345,"A Nihang at the CJP protest is saying - If we start attacking, we'll beat everyone until their bodies are covered in bruises. We won't spare anyone, whether it's the police or anyone else. 

This protest is being presented as a students' protest, so where did these Nihangs https://t.co/MCKsBqrUc6",SaffronChargers,Wed Jul 22 02:59:22 +0000 2026,18644,5090,en
2080911808957972965,"From astrology to exclusive content, this wannabe now claims she was molested at a Temple during the CJP protest. https://t.co/5SGkwDPkTo",Kritical_62,Sat Jul 25 07:03:31 +0000 2026,413,76,en
2080479905444508116,"🚨 She is Instagram influencer Sunita Bhatt with over 200K+ followers. She has been making anti-BJP videos for a long time and has been covering the CJP protest since day one.

Now yesterday, she was threatening the Delhi Police to beat them with lathis. Just a few hours later, https://t.co/QJgbkcFgBj",Tejashyy,Fri Jul 24 02:27:17 +0000 2026,10286,2654,en
2079570839981453795,"Prime Minister Modi should be assassinated. If it were up to me, I would do it myself ~ A Peaceful Protestor at CJP Protest 

This shows the level of retardation of these cockroaches

Disgusting https://t.co/Wwq4MudI72",Tushar_KN,Tue Jul 21 14:14:59 +0000 2026,10706,4369,en
2080911901857624550,"EPSIODE:1 | Black Day For Indian Democracy 💔🥲 | CJP PROTEST | Abhijeet Dipke | CJP Protest Jantar Mantar | Delhi Protest | 20th July 2026 | CJP latest News | Priyanshu Rai 

#facts #abhijeetdipke #cjp #cjpprotest #delhiprotest #jantarmantar #cjp2026 #priyanshurai https://t.co/Uvu7Qw8UV9",RaiPriyanshu_12,Sat Jul 25 07:03:53 +0000 2026,1,0,en
2080627886269300956,"Meet Rhiya Ahir - the viral bus girl

- 27 years old
- Born and raised in Mumbai
- Daughter of an ITBP officer
- Psychology student and theatre artist
- Owns a clothing brand, 'Rhiyasath'
- Became the face of the Mumbai student protests in July 2026
- IG following grew from 3K to https://t.co/ksYRY2mOPZ",wrendom,Fri Jul 24 12:15:18 +0000 2026,3796,660,en
2080992683267629354,"The Cockroach Janta Party has announced that it is withdrawing the CJP protest and has asked all protesters to return home peacefully.

If anyone continues creating chaos at Jantar Mantar after this, it will be up to the Delhi Police to deal with them. https://t.co/qBFVRRQOXo",AMIT_GUJJU,Sat Jul 25 12:24:53 +0000 2026,774,215,en
2079579354343039195,"BREAKING : Times Now journalist Dev Kotak mob-Iynched and brutally beaten by CJP goons today.

They even looted his mobile, watch and specs.

CJP is NOT a student's protest, but run by a bunch of Anarchists and Hooligans.

Abhijeet Dipke is directly responsible for this. https://t.co/F34wFekGBP",treeni,Tue Jul 21 14:48:49 +0000 2026,3351,1930,en
2079141983151591488,"HEARTBREAKING : 💔

A young woman broke down in tears in front of police officer after the lathi charge during the CJP protest. 👇 https://t.co/FIEV26eJCM",Priyaa_Purohit,Mon Jul 20 09:50:52 +0000 2026,15044,4656,en
2080277559606964456,"Indira Jaisingh -

-Fought for Yakub Memon
-Wanted to lower the age of consent from 18 to 16
-Asked Nirbhaya’s mother to forgive her daughter’s rapists
-Defended anti-nationals eg Teesta Setalvad

And now she's supporting the CJP protest

Pathetic creature! https://t.co/cdYQd7SZJv",SaffronQueen_,Thu Jul 23 13:03:14 +0000 2026,6332,2582,en
